concurrency,rep,mean_latency,max_latency,ok_count
10,1,0.021997809410095215,0.03105640411376953,0
10,2,0.019605183601379396,0.030524015426635742,0
10,3,0.01826329231262207,0.025141477584838867,0
50,1,0.2632118654251099,0.42717885971069336,0
50,2,0.17747439861297606,0.3176298141479492,0
50,3,0.20594488620758056,0.37456655502319336,0
100,1,0.3839771914482117,0.6801166534423828,0
100,2,0.5097931337356567,0.8991551399230957,0
100,3,0.4087136101722717,0.640627384185791,0
